# t, x, y, z
7.200,0.5364,-0.0606,-0.1000
7.250,0.5353,-0.0548,-0.1000
7.300,0.5302,-0.0610,-0.1000
7.350,0.5225,-0.0804,-0.1000
7.400,0.5145,-0.1099,-0.1000
7.450,0.5245,-0.1179,-0.0500
7.500,0.5232,-0.1168,-0.0500
7.550,0.5220,-0.1159,-0.0500
7.600,0.5209,-0.1150,-0.0500
7.650,0.5200,-0.1143,-0.0500
7.700,0.5193,-0.1137,-0.0500
7.750,0.5186,-0.1132,-0.0500
7.800,0.5180,-0.1127,-0.0500
7.850,0.5176,-0.1123,-0.0500
7.900,0.5171,-0.1120,-0.0500
7.950,0.5168,-0.1117,-0.0500
8.000,0.5165,-0.1115,-0.0500
8.050,0.5162,-0.1113,-0.0500
8.100,0.5160,-0.1111,-0.0500
8.150,0.5158,-0.1109,-0.0500
8.200,0.5156,-0.1108,-0.0500
8.250,0.5155,-0.1107,-0.0500
8.300,0.5153,-0.1106,-0.0500
8.350,0.5152,-0.1105,-0.0500
8.400,0.5151,-0.1104,-0.0500
8.450,0.5150,-0.1103,-0.0500
8.500,0.5150,-0.1103,-0.0500
8.550,0.5149,-0.1102,-0.0500
8.600,0.5149,-0.1102,-0.0500
8.650,0.5148,-0.1102,-0.0500
8.700,0.5148,-0.1101,-0.0500
8.750,0.5147,-0.1101,-0.0500
8.800,0.5147,-0.1101,-0.0500
8.850,0.5147,-0.1101,-0.0500
8.900,0.5147,-0.1100,-0.0500
8.950,0.5147,-0.1100,-0.0500
9.000,0.5146,-0.1100,-0.0500
9.050,0.5146,-0.1100,-0.0500
9.100,0.5146,-0.1100,-0.0500
9.150,0.5146,-0.1100,-0.0500
9.200,0.5146,-0.1100,-0.0500
### takeoff time : 1.100
